"","value","Isolate"
"1","100_D3","100_D3"
"2","101D3","101D3"
"3","101_D3","101_D3"
"4","102D31","102D31"
"5","103D3","103D3"
"6","103_D3","103_D3"
"7","103point1D31","103_1D31"
"8","104_D3","104_D3"
"9","105D3","105D3"
"10","106_D3","106_D3"
"11","107D3","107D3"
"12","108D3","108D3"
"13","108_D3","108_D3"
"14","109_D3","109_D3"
"15","10D3","10D3"
"16","10point1D3","10_1D3"
"17","110D3","110D3"
"18","110D31","110D31"
"19","111point1D31","111_1D31"
"20","113D3","113D3"
"21","113point2D31","113_2D31"
"22","113point3D31","113_3D31"
"23","115D3","115D3"
"24","116D3","116D3"
"25","117D3","117D3"
"26","118D3","118D3"
"27","118D31","118D31"
"28","119D3","119D3"
"29","119_D3","119_D3"
"30","120D3","120D3"
"31","120D31","120D31"
"32","121D3","121D3"
"33","121D31","121D31"
"34","122D31","122D31"
"35","122_D3","122_D3"
"36","123_D3","123_D3"
"37","124D3","124D3"
"38","124_D3","124_D3"
"39","124point4D31","124_4D31"
"40","125D3","125D3"
"41","126D3","126D3"
"42","127D3","127D3"
"43","127D31","127D31"
"44","127point1D3","127_1D3"
"45","128D31","128D31"
"46","128point1D31","128_1D31"
"47","12D3","12D3"
"48","12point1D31","12_1D31"
"49","130D3","130D3"
"50","131D3","131D3"
"51","131point1D3","131_1D3"
"52","132_D3","132_D3"
"53","132point1D3","132_1D3"
"54","133D3","133D3"
"55","135D3","135D3"
"56","136D3","136D3"
"57","137D3","137D3"
"58","138D31","138D31"
"59","139D3","139D3"
"60","13D3","13D3"
"61","141D3","141D3"
"62","142_D3","142_D3"
"63","143D3","143D3"
"64","143D31","143D31"
"65","143_D3","143_D3"
"66","143point1D31","143_1D31"
"67","144point1D31","144_1D31"
"68","146D31","146D31"
"69","146_D3","146_D3"
"70","147D3","147D3"
"71","147D31","147D31"
"72","147_D3","147_D3"
"73","148D31","148D31"
"74","149D3","149D3"
"75","149D31","149D31"
"76","14D3","14D3"
"77","150D3","150D3"
"78","150D31","150D31"
"79","150point1D31","150_1D31"
"80","151D31","151D31"
"81","152D3","152D3"
"82","153D3","153D3"
"83","153D31","153D31"
"84","154D31","154D31"
"85","154_D3","154_D3"
"86","155D3","155D3"
"87","156D3","156D3"
"88","157D3","157D3"
"89","158D3","158D3"
"90","159_D3","159_D3"
"91","159point1D3","159_1D3"
"92","15D31","15D31"
"93","15point1D31","15_1D31"
"94","160D3","160D3"
"95","161D3","161D3"
"96","163D3","163D3"
"97","163_D3","163_D3"
"98","165D3","165D3"
"99","168D3","168D3"
"100","16D31","16D31"
"101","16point1D31","16_1D31"
"102","16point2D31","16_2D31"
"103","171D3","171D3"
"104","172D3","172D3"
"105","175D3","175D3"
"106","179D3","179D3"
"107","181D3","181D3"
"108","182D3","182D3"
"109","183D3","183D3"
"110","183point1D3","183_1D3"
"111","184_D3","184_D3"
"112","185D3","185D3"
"113","185_D3","185_D3"
"114","187D3","187D3"
"115","188D3","188D3"
"116","189_D3","189_D3"
"117","18D3","18D3"
"118","190D3","190D3"
"119","193_D3","193_D3"
"120","196_D3","196_D3"
"121","197D3","197D3"
"122","198D3","198D3"
"123","199point1D3","199_1D3"
"124","1point1D31","1_1D31"
"125","200D3","200D3"
"126","201D3","201D3"
"127","202D3","202D3"
"128","203D3","203D3"
"129","204D3","204D3"
"130","205D3","205D3"
"131","206D3","206D3"
"132","206_D3","206_D3"
"133","207D3","207D3"
"134","208D3","208D3"
"135","209D3","209D3"
"136","20D31","20D31"
"137","213D3","213D3"
"138","214D3","214D3"
"139","217D3","217D3"
"140","218D3","218D3"
"141","218_D3","218_D3"
"142","219_D3","219_D3"
"143","21point1D3","21_1D3"
"144","223_D3","223_D3"
"145","229D3","229D3"
"146","231D3","231D3"
"147","233D3","233D3"
"148","234D3","234D3"
"149","235D3","235D3"
"150","236D3","236D3"
"151","237D3","237D3"
"152","238D3","238D3"
"153","239D3","239D3"
"154","23point1D31","23_1D31"
"155","243_D3","243_D3"
"156","24D3","24D3"
"157","250D3","250D3"
"158","250_D3","250_D3"
"159","26_D3","26_D3"
"160","26point1D3","26_1D3"
"161","28_D3","28_D3"
"162","2D31","2D31"
"163","32D3","32D3"
"164","32D31","32D31"
"165","33_D3","33_D3"
"166","34D3","34D3"
"167","34_D3","34_D3"
"168","34point1D3","34_1D3"
"169","35D3","35D3"
"170","35D31","35D31"
"171","35_D3","35_D3"
"172","36D3","36D3"
"173","36_D3","36_D3"
"174","36point1D3","36_1D3"
"175","37D31","37D31"
"176","38D31","38D31"
"177","39D3","39D3"
"178","3D31","3D31"
"179","40D3","40D3"
"180","40D31","40D31"
"181","40point1D31","40_1D31"
"182","41D31","41D31"
"183","42D3","42D3"
"184","42_D3","42_D3"
"185","43point1_D3","43_1_D3"
"186","43point2_D3","43_2_D3"
"187","44D31","44D31"
"188","44_D3","44_D3"
"189","45_D3","45_D3"
"190","45point2D31","45_2D31"
"191","46D3","46D3"
"192","46D31","46D31"
"193","46point1D31","46_1D31"
"194","48D31","48D31"
"195","49D31","49D31"
"196","4point1D3","4_1D3"
"197","50D31","50D31"
"198","51D31","51D31"
"199","52point1D31","52_1D31"
"200","53D3","53D3"
"201","54point1D3","54_1D3"
"202","56D3","56D3"
"203","57D3","57D3"
"204","57D31","57D31"
"205","57point1D31","57_1D31"
"206","58point1_D3","58_1_D3"
"207","58point2D3","58_2D3"
"208","58point2D31","58_2D31"
"209","58point2_D3","58_2_D3"
"210","60point1D31","60_1D31"
"211","62_D3","62_D3"
"212","62point1D3","62_1D3"
"213","63D3","63D3"
"214","64D3","64D3"
"215","65D3","65D3"
"216","65D31","65D31"
"217","65point1D3","65_1D3"
"218","69D3","69D3"
"219","6_D3","6_D3"
"220","71D31","71D31"
"221","75D31","75D31"
"222","75_D3","75_D3"
"223","76D3","76D3"
"224","76D31","76D31"
"225","77D3","77D3"
"226","77D31","77D31"
"227","77_D3","77_D3"
"228","78D31","78D31"
"229","79D31","79D31"
"230","79point1D31","79_1D31"
"231","80D3","80D3"
"232","80D31","80D31"
"233","81D3","81D3"
"234","82D31","82D31"
"235","82_D3","82_D3"
"236","83D3","83D3"
"237","83D31","83D31"
"238","85_D3","85_D3"
"239","86D3","86D3"
"240","86D31","86D31"
"241","86_D3","86_D3"
"242","87D31","87D31"
"243","88D3","88D3"
"244","89D3","89D3"
"245","89D31","89D31"
"246","8_D3","8_D3"
"247","8point1D3","8_1D3"
"248","90D3","90D3"
"249","92D3","92D3"
"250","93D3","93D3"
"251","94D3","94D3"
"252","95D31","95D31"
"253","98D31","98D31"
"254","99D3","99D3"
"255","99D31","99D31"
"256","99_D3","99_D3"
"257","9D3","9D3"
"258","9point1D31","9_1D31"
"259","9point2D31","9_2D31"
"260","S10OMO","10OMO_D31"
"261","S10P","10P_D31"
"262","S11","11_D31"
"263","S12","12_D31"
"264","S13","13_D31"
"265","S15","15_D31"
"266","S17A","17A_D31"
"267","S17B","17B_D31"
"268","S18","18_D31"
"269","S19AB","19AB_D31"
"270","S2","2_D31"
"271","S20","20_D31"
"272","S21","21_D31"
"273","S22","22_D31"
"274","S28","28_D31"
"275","S29","29_D31"
"276","S3","3_D31"
"277","S30W","30W_D31"
"278","S30Y32A","30Y32A_D31"
"279","S31","31_D31"
"280","S32AB","32AB_D31"
"281","S33PW","33PW_D31"
"282","S4","4_D31"
"283","S6","6_D31"
"284","S7","7_D31"
"285","S8","8_D31"
"286","S9RO","9RO_D31"
"287","49_D3","49_D3"
"288","226_D3","226_D3"
"289","100D31","100D31"
"290","101D31","101D31"
"291","104D31","104D31"
"292","111point2D31","111_2D31"
"293","112point1D31","112_1D31"
"294","112point2D31","112_2D31"
"295","114D31","114D31"
"296","117point1D31","117_1D31"
"297","119D31","119D31"
"298","123D31","123D31"
"299","124point1D31","124_1D31"
"300","124point2D31","124_2D31"
"301","124point3D31","124_3D31"
"302","125_DF","125_D31"
"303","126D31","126D31"
"304","130D31","130D31"
"305","132point1D31","132_1D31"
"306","136point1D31","136_1D31"
"307","139D31","139D31"
"308","140point1D31","140_1D31"
"309","141D31","141D31"
"310","145D31","145D31"
"311","177D3","177D3"
"312","232D3","232D3"
"313","247_D3","247_D3"
"314","24D31","24D31"
"315","25point1D31","25_1D31"
"316","31D31","31D31"
"317","42D31","42D31"
"318","45point1D31","45_1D31"
"319","4point1D31","4_1D31"
"320","52D31","52D31"
"321","52point2D31","52_2D31"
"322","53D31","53D31"
"323","63_DF","63_D31"
"324","66D31","66D31"
"325","74_DF","74_D31"
"326","81D31","81D31"
"327","88D31","88D31"
"328","90D31","90D31"
"329","93D31","93D31"
"330","S23P","23P_D31"
"331","S5","5_D31"
"332","142D31","142D31"
"333","66D3","66D3"
"334","142point1D31","142_1D31"
"335","129_D3","129_D3"
"336","167_D3","167_D3"
"337","S33","33_D31"
"338","S34","34_D31"
"339","194point1D3","194_1D3"
"340","31_D3","31_D3"
"341","45D31","45D31"
"342","9D31","9D31"
"343","S26","26_D31"
"344","245D3","245D3"
"345","S27","27_D31"
"346","S24","24_D31"
"347","120_D3","120_D3"
"348","20_D3","20_D3"
"349","30_D3","30_D3"
"350","54_D3","54_D3"
"351","66_D3","66_D3"
"352","173_D3","173_D3"
"353","S25","25_D31"
"354","115D31","115D31"
"355","S9W","9W_D31"
"356","135D31","135D31"
"357","106D31","106D31"
"358","136D31","136D31"
"359","140D31","140D31"
"360","180D3","180D3"
"361","4_DF","4_D31"
"362","73D31","73D31"
"363","96D31","96D31"
"364","97D31","97D31"
"365","103D31","103D31"
"366","162_D3","162_D3"
"367","170_D3","170_D3"
"368","1_D3","1_D3"
"369","215_D3","215_D3"
"370","220_D3","220_D3"
"371","248_D3","248_D3"
"372","3_D3","3_D3"
"373","98_D3","98_D3"
"374","225_D3","225_D3"
"375","61_D3","61_D3"
"376","68_DF","68_D31"
"377","63_D3","63_D3"
"378","11_DF","11_D31"
"379","109D31","109D31"
"380","134D31","134D31"
"381","134_D3","134_D3"
"382","43D31","43D31"
"383","113point1D31","113_1D31"
"384","131D31","131D31"
"385","84D31","84D31"
"386","85D31","85D31"
"387","S16","16_D31"
"388","129D31","129D31"
"389","141point1D31","141_1D31"
"390","6_DF","6_D31"
"391","116D31","116D31"
"392","117D31","117D31"
"393","128_D3","128_D3"
"394","132D31","132D31"
"395","148_D3","148_D3"
"396","166_D3","166_D3"
"397","176_D3","176_D3"
"398","191_D3","191_D3"
"399","21_D3","21_D3"
"400","221_D3","221_D3"
"401","222_D3","222_D3"
"402","230_D3","230_D3"
"403","241_D3","241_D3"
"404","27_D3","27_D3"
"405","70D31","70D31"
"406","61_DF","61_D31"
"407","40_D3","40_D3"
"408","34_DF","34_D31"
"409","62point1_DF","62_1_D31"
"410","8_DF","8_D31"
"411","94D31","94D31"
"412","60_DF","60_D31"
"413","67_DF","67_D31"
"414","69_DF","69_D31"
"415","174_D3","174_D3"
"416","107D31","107D31"
"417","137D31","137D31"
"418","91D31","91D31"
"419","92D31","92D31"
"420","133_DF","133_D31"
"421","202_D3","202_D3"
"422","246_D3","246_D3"
"423","29_D3","29_D3"
"424","47_DF","47_D31"
"425","54_DF","54_D31"
"426","55_DF","55_D31"
"427","56_DF","56_D31"
"428","57_DF","57_D31"
"429","58_DF","58_D31"
"430","59_DF","59_D31"
"431","64_DF","64_D31"
"432","67_D3","67_D3"
"433","68_D3","68_D3"
"434","72_DF","72_D31"
"435","7_DF","7_D31"
"436","194_D3","194_D3"
"437","107_D3","107_D3"
"438","111_D3","111_D3"
"439","169_D3","169_D3"
"440","47_D3","47_D3"
"441","5_D3","5_D3"
"442","84_D3","84_D3"
"443","210_D3","210_D3"
"444","228_D3","228_D3"
"445","2_D3","2_D3"
"446","38_D3","38_D3"
"447","4_D3","4_D3"
"448","52_D3","52_D3"
"449","78_D3","78_D3"
"450","87_D3","87_D3"
"451","17_D3","17_D3"
"452","22_D3","22_D3"
"453","23_D3","23_D3"
"454","59_D3","59_D3"
"455","72_D3","72_D3"
"456","91_D3","91_D3"
"457","211_D3","211_D3"
"458","217_D3","217_D3"
"459","224_D3","224_D3"
"460","244_D3","244_D3"
"461","7_D3","7_D3"
"462","178_D3","178_D3"
"463","186_D3","186_D3"
"464","192_D3","192_D3"
"465","25_D3","25_D3"
"466","114_D3","114_D3"
"467","110_D3","110_D3"
"468","240_D3","240_D3"
