Isolate_Number,jar_no
1_D3,J1
2_D3,J1
3_D3,J1
4_D3,J1
5_D3,J1
6_D3,J1
7_D3,J1
8_D3,J1
9_D3,J2
10_D3,J2
11_D3,J2
12_D3,J2
13_D3,J2
14_D3,J2
15_D3,J2
16_D3,J3
17_D3,J3
18_D3,J3
19_D3,J4
20_D3,J4
21_D3,J4
22_D3,J4
23_D3,J4
24_D3,J5
25_D3,J5
26_D3,J5
27_D3,J5
28_D3,J5
29_D3,J5
30_D3,J6
31_D3,J6
32_D3,J6
33_D3,J6
34_D3,J6
35_D3,J7
36_D3,J7
37_D3,J7
38_D3,J7
39_D3,J7
40_D3,J7
41_D3,J7
42_D3,J8
43.1_D3,J8
43.2_D3,J8
44_D3,J8
45_D3,J9
46_D3,J9
47_D3,J10
48_D3,J10
49_D3,J10
50_D3,J10
51_D3,J10
52_D3,J11
53_D3,J11
54_D3,J11
56_D3,J11
57_D3,J12
58.1_D3,J12
58.2_D3,J12
59_D3,J12
61_D3,J12
62_D3,J12
63_D3,J13
64_D3,J13
65_D3,J13
66_D3,J13
67_D3,J14
68_D3,J14
69_D3,J14
70_D3,J15
71_D3,J15
72_D3,J16
73_D3,J16
74_D3,J16
75_D3,J16
76_D3,J16
77_D3,J17
78_D3,J17
79_D3,J17
80_D3,J17
81_D3,J17
82_D3,J17
83_D3,J18
84_D3,J18
85_D3,J18
86_D3,J18
87_D3,J19
88_D3,J19
89_D3,J19
90_D3,J19
91_D3,J19
92_D3,J20
93_D3,J19
94_D3,J21
96_D3,J20
98_D3,J20
99_D3,J20
100_D3,J20
101_D3,J20
102_D3,J20
103_D3,J20
104_D3,J20
105_D3,J20
106_D3,J20
107_D3,J20
108_D3,J20
109_D3,J20
110_D3,J20
111_D3,J20
112_D3,J20
113_D3,J20
114_D3,J21
115_D3,J21
116_D3,J21
117_D3,J21
118_D3,J21
119_D3,J21
120_D3,J22
121_D3,J22
122_D3,J22
123_D3,J22
124_D3,J22
125_D3,J23
126_D3,J23
127_D3,J23
128_D3,J24
129_D3,J24
130_D3,J24
131_D3,J24
132_D3,J24
132.1_D3,J24
133_D3,J24
134_D3,J24
135_D3,J24
136_D3,J24
137_D3,J24
138_D3,J24
139_D3,J24
141_D3,J25
142_D3,J25
143_D3,J25
144_D3,J25
145_D3,J25
146_D3,J26
147_D3,J26
148_D3,J26
149_D3,J26
150_D3,J27
151_D3,J27
152_D3,J27
153_D3,J27
154_D3,J27
155_D3,J27
156_D3,J28
157_D3,J28
158_D3,J28
159_D3,J28
160_D3,J28
161_D3,J28
162_D3,J29
163_D3,J29
165_D3,J29
166_D3,J29
167_D3,J29
168_D3,J29
169_D3,J29
170_D3,J29
171_D3,J30
172_D3,J30
173_D3,J30
174_D3,J31
175_D3,J31
176_D3,J31
177_D3,J31
178_D3,J32
179_D3,J32
180_D3,J32
181_D3,J32
182_D3,J32
183_D3,J32
184_D3,J32
185_D3,J33
186_D3,J33
187_D3,J33
188_D3,J33
189_D3,J31
190_D3,J33
191_D3,J33
192_D3,J33
193_D3,J33
194_D3,J33
195_D3,J34
196_D3,J34
197_D3,J34
198_D3,J35
199.1_D3,J35
199.2_D3,J36
200_D3,J36
201_D3,J36
202_D3,J37
203_D3,J37
204_D3,J37
205_D3,J37
206_D3,J37
207_D3,J37
208_D3,J37
209_D3,J37
210_D3,J38
211_D3,J38
212_D3,J38
213_D3,J38
214_D3,J38
215_D3,J38
216_D3,J38
217_D3,J38
218_D3,J38
219_D3,J39
220_D3,J39
221_D3,J39
222_D3,J39
223_D3,J39
224_D3,J39
225_D3,J39
226_D3,J40
227_D3,J40
228_D3,J40
229_D3,J40
230_D3,J40
231_D3,J40
232_D3,J41
233_D3,J41
234_D3,J41
235_D3,J42
236_D3,J42
237_D3,J42
238_D3,J42
239_D3,J42
240_D3,J43
241_D3,J43
242_D3,J43
243_D3,J43
244_D3,J44
245_D3,J44
246_D3,J44
247_D3,J44
248_D3,J45
249_D3,J45
250_D3,J45
251_D3,J45
1_DF,J1
2_DF,J1
3_DF,J1
4_DF,J1
4.1_DF,J3
5_DF,J1
6_DF,J1
7_DF,J2
8_DF,J2
9_DF,J2
9.1_DF,J2
10_DF,J2
11_DF,J3
12_DF,J3
13_DF,J4
14_DF,J4
15_DF,J4
16_DF,J4
17_DF,J4
18_DF,J4
19_DF,J5
20_DF,J5
21_DF,J6
22_DF,J6
23_DF,J7
24_DF,J7
25_DF,J7
26_DF,J7
27_DF,J7
28_DF,J7
29_DF,J7
30_DF,J7
31_DF,J8
32_DF,J8
33_DF,J8
34_DF,J8
35_DF,J10
36_DF,J10
37_DF,J10
38_DF,J10
39_DF,J11
40_DF,J11
41_DF,J12
42_DF,J12
43_DF,J12
44_DF,J12
45_DF,J12
45.1_DF,J12
45.2_DF,J12
46_DF,J13
47_DF,J13
48_DF,J14
49_DF,J14
50_DF,J15
51_DF,J15
52_DF,J15
53_DF,J15
54_DF,J16
55_DF,J16
56_DF,J16
57_DF,J16
58_DF,J16
59_DF,J16
60_DF,J17
61_DF,J17
62_DF,J18
62.1_DF,J18
63_DF,J18
64_DF,J19
65_DF,J19
66_DF,J19
67_DF,J20
68_DF,J20
69_DF,J20
70_DF,J20
71_DF,J20
72_DF,J21
73_DF,J21
74_DF,J22
75_DF,J22
76_DF,J22
77_DF,J22
78_DF,J22
79_DF,J23
80_DF,J23
81_DF,J24
82_DF,J24
83_DF,J24
84_DF,J25
85_DF,J25
86_DF,J25
87_DF,J26
88_DF,J26
89_DF,J26
90_DF,J26
91_DF,J27
92_DF,J27
93_DF,J27
94_DF,J28
95_DF,J28
96_DF,J28
97_DF,J29
98_DF,J29
99_DF,J29
100_DF,J29
101_DF,J30
102_DF,J30
103_DF,J30
104_DF,J30
105_DF,J30
106_DF,J31
107_DF,J31
108_DF,J32
109_DF,J33
110_DF,J33
111_DF,J33
112_DF,J33
113.1_DF,J33
113.2_DF,J33
113.3_DF,J34
114_DF,J35
115_DF,J35
116_DF,J35
117_DF,J35
118_DF,J35
119_DF,J35
120_DF,J35
121_DF,J36
122_DF,J36
123_DF,J37
124_DF,J37
124.1_DF,J37
124.2_DF,J37
124.3_DF,J37
125_DF,J38
126_DF,J38
127_DF,J38
128_DF,J39
129_DF,J39
130_DF,J39
131_DF,J39
132_DF,J39
133_DF,J39
134_DF,J40
135_DF,J40
136_DF,J40
137_DF,J41
138_DF,J41
139_DF,J42
140_DF,J42
141_DF,J42
142_DF,J42
143_DF,J43
144_DF,J43
145_DF,J43
146_DF,J43
147_DF,J44
148_DF,J44
149_DF,J44
150_DF,J44
150.1_DF,J44
151_DF,J45
152_DF,J45
153_DF,J45
154_DF,J20
